masa_A
t x v_{x}
0.0 3.9262970706333E-5 NaN
0.016544444444444424 0.02045366195816778 1.215745557213035
0.033088888888888904 0.04026693263048875 1.1710558976681213
0.04963333333333338 0.05920260043878639 1.0811665791559897
0.06617777777777775 0.07604153343856135 1.0264707073383632
0.08272222222222222 0.0931673756216046 0.9592832181943004
0.09926666666666671 0.10778314925836835 0.8360551548212924
0.11581111111111118 0.12083151174446921 0.7438937829810223
0.13235555555555556 0.13239776798856256 0.6284092305092437
0.14890000000000003 0.14162487494954168 0.5619112834922333
0.1654444444444445 0.15099078801345006 0.5540319665624036
0.18198888888888887 0.15995717713201762 0.5381889920716586
0.19853333333333326 0.1687988637733322 0.45899175180387564
0.21518888888888882 0.1751957032919063 0.3397944575610241
0.2317333333333333 0.1800800397643582 0.30423472734316237
0.24827777777777776 0.18526249238110568 0.26737206087674037
0.26482222222222224 0.1889270841787019 0.1913836747765423
0.2813666666666667 0.19159516553093392 0.14874859482947267
0.29791111111111107 0.19384900990539267 0.09618612711758151
0.3144555555555556 0.19477785760378014 0.017647723289485752
0.33100000000000007 0.19443295346046033 -0.06254138260332066
0.34754444444444454 0.19270843274386135 -0.06409008478356695
0.3640888888888889 0.1923122837661774 -0.04324295724912838
0.3806333333333334 0.19127757133621798 -0.06254138260332197
0.39717777777777785 0.1902428589062586 -0.07213959533818684
0.4137222222222222 0.1888905522815833 -0.09216137184027334
0.4302666666666666 0.18719334151358824 -0.10021088239489324
0.44681111111111105 0.1855746855285612 -0.09866218021464634
0.4633555555555556 0.18392871959493026 -0.11135779731000438
0.47990000000000005 0.1818899797464591 -0.13055422277973683
0.4964444444444444 0.17960882542339635 -0.15707680765619747
0.5129888888888888 0.17669248271090185 -0.14582789285661915
0.5295333333333333 0.17478354247976285 -0.15387740341123876
0.5460777777777778 0.17160085040691664 -0.18277404150029972
0.5626222222222222 0.16873575252878623 -0.16357761603057044
0.5791666666666667 0.16618824884537176 -0.17874928622299097
0.595711111111111 0.16282113725798553 -0.20599522224733996
0.6122555555555554 0.15937209582478756 -0.2061284026863902
0.6289111111111111 0.15597767428879739 -0.21487190407530538
0.6454555555555556 0.15223834860948743 -0.2396399667616012
0.662 0.1480482540552857 -0.2364405625166482
0.6785444444444445 0.14441479310754768 -0.23406650930404937
0.6950888888888888 0.140303253336314 -0.23489186033640108
0.7116333333333332 0.13664248243997212 -0.24923817949646418
0.7281777777777777 0.1320562389080865 -0.2613124453283995
0.7447222222222222 0.12799594397121689 -0.2572876900510892
0.7612666666666666 0.12354287511950712 -0.2852569772233272
0.7778111111111111 0.11855710754709387 -0.2902090834174578
0.7943555555555556 0.11394017900376058 -0.2773094665531731
0.8109000000000001 0.10938124542047883 -0.27885816873342106
0.8274444444444443 0.10471307204278146 -0.2885583813527505
0.8439888888888888 0.09983316920194013 -0.3069294557901255
0.8605333333333333 0.09455711738341482 -0.3094055088871894
0.8770777777777777 0.08959528469676181 -0.3117795620997864
0.8936222222222223 0.08424067809526847 -0.32860193435691754
0.9101666666666668 0.07872221180215172 -0.3422249023690945
0.9267111111111113 0.07291683632576662 -0.3390254981241418
0.9432555555555557 0.0675042347642218 -0.3358260938791861
0.9598 0.061804724019408674 -0.34459895558169745
0.9763444444444445 0.05610183821175191 -0.34542430661404977
0.9928888888888889 0.0503750175183349 -0.3509977640716083
1.0094333333333334 0.04448771219613801 -0.3502744129237169
1.0259777777777779 0.03878482638848124 -0.36142132783882336
1.0425222222222224 0.03252868203720444 -0.3577439853349979
1.0591777777777778 0.02690772607535935 -0.37625689396497525
1.0757222222222222 0.020036953157567317 -0.41199044449468003
1.0922666666666667 0.01327542003419091 -0.3814431043409128
1.1088111111111112 0.007415424660597969 -0.376694997915714
1.1253555555555557 8.11001103157627E-4 -0.38309380640562196
1.1419000000000001 -0.0052607237335791646 -0.38939061501106687
1.1584444444444446 -0.01207350169131971 -0.410237742545508
1.174988888888889 -0.018835034814696117 -0.41199044449468836
1.1915333333333333 -0.025705807732488317 -0.40796568921737575
1.2080777777777778 -0.03233416617568874 -0.41911260413247986
1.2246222222222223 -0.03957377812256091 -0.4391343806345715
1.2411666666666668 -0.04686463490379722 -0.42241400826189834
1.2577111111111112 -0.05355098830704913 -0.43438627420936426
1.2742555555555557 -0.061237994065969414 -0.4575054550719435
1.2908000000000002 -0.06868933547598532 -0.4576074549564098
1.3073444444444444 -0.07637971629774926 -0.4494559445173349
1.3238888888888887 -0.08356133328456983 -0.45915615713665514
1.3404333333333331 -0.09157268336389324 -0.46245756126607057
1.3569777777777776 -0.09886354014512944 -0.4575054550719487
1.373522222222222 -0.10671103053282949 -0.47040507193623315
1.3900666666666666 -0.11442872130319726 -0.47680388042613786
1.406611111111111 -0.12248794115404105 -0.4961023057803329
1.4231555555555555 -0.13084419537668435 -0.47608052927824707
1.4397 -0.13824091688949247 NaN
